,SiteID,CommonName,Year,GrowthRate,ResStatus,WinterStage,HostCategory,Hostplant_Specialism_Score,Voltinism,WingSize_meanFemale,Wetland,Disturbed
35135,2,Northern Eyed Brown,2008,-0.23397015549457378,2.0,2.0,2.0,2.0,1,2.4,1,0
35136,2,Northern Eyed Brown,2009,26.92455898623354,2.0,2.0,2.0,2.0,1,2.4,1,0
35137,2,Northern Eyed Brown,2010,-0.9355269445155758,2.0,2.0,2.0,2.0,1,2.4,1,0
35138,2,Northern Eyed Brown,2011,-0.1327677357698953,2.0,2.0,2.0,2.0,1,2.4,1,0
35139,2,Northern Eyed Brown,2012,-0.24062414397682896,2.0,2.0,2.0,2.0,1,2.4,1,0
35140,2,Northern Eyed Brown,2013,0.5957949306185182,2.0,2.0,2.0,2.0,1,2.4,1,0
35141,2,Northern Eyed Brown,2014,2.0312459800339417,2.0,2.0,2.0,2.0,1,2.4,1,0
35142,2,Northern Eyed Brown,2015,0.10069664238423126,2.0,2.0,2.0,2.0,1,2.4,1,0
35132,2,Northern Eyed Brown,2005,-0.277531510274439,2.0,2.0,2.0,2.0,1,2.4,1,0
34722,2,Northern Cloudywing,2008,0.5531382186963119,2.0,2.0,1.0,3.0,1,2.0,0,0
28070,2,Little Glassy Wing,2011,0.1712039720661227,2.0,2.0,2.0,1.0,2,1.4,0,0
16566,2,Eastern Tailed Blue,2016,-0.27396310027085125,2.0,2.0,1.0,3.0,4,1.14,0,1
27773,2,Leonard's Skipper,2016,-0.09504243296995007,2.0,2.0,2.0,3.0,1,1.8,0,0
27772,2,Leonard's Skipper,2015,-0.07944669264285986,2.0,2.0,2.0,3.0,1,1.8,0,0
27771,2,Leonard's Skipper,2014,0.028845362305772948,2.0,2.0,2.0,3.0,1,1.8,0,0
27770,2,Leonard's Skipper,2013,-0.7504412392313173,2.0,2.0,2.0,3.0,1,1.8,0,0
27769,2,Leonard's Skipper,2012,3.2732718959903977,2.0,2.0,2.0,3.0,1,1.8,0,0
27768,2,Leonard's Skipper,2011,-0.6625641838986065,2.0,2.0,2.0,3.0,1,1.8,0,0
27767,2,Leonard's Skipper,2010,1.848045398576696,2.0,2.0,2.0,3.0,1,1.8,0,0
18551,2,Edwards' Hairstreak,2012,-0.006652363562675956,2.0,1.0,3.0,2.0,1,1.5,0,0
18552,2,Edwards' Hairstreak,2013,0.8677250939869365,2.0,1.0,3.0,2.0,1,1.5,0,0
18553,2,Edwards' Hairstreak,2014,-0.21124485477498167,2.0,1.0,3.0,2.0,1,1.5,0,0
36284,2,Orange Sulphur,2016,0.39822081887739946,1.0,3.0,1.0,3.0,4,2.6,0,1
18554,2,Edwards' Hairstreak,2015,0.07975309378787054,2.0,1.0,3.0,2.0,1,1.5,0,0
18665,2,European Skipper,1997,0.6046609163531811,1.0,1.0,2.0,3.0,1,1.3,0,1
18666,2,European Skipper,1998,-0.1986258405699024,1.0,1.0,2.0,3.0,1,1.3,0,1
18667,2,European Skipper,1999,-0.6811731967329948,1.0,1.0,2.0,3.0,1,1.3,0,1
18668,2,European Skipper,2000,-0.8028188909516831,1.0,1.0,2.0,3.0,1,1.3,0,1
18669,2,European Skipper,2001,0.28781729061249606,1.0,1.0,2.0,3.0,1,1.3,0,1
18670,2,European Skipper,2002,-0.5775543048103252,1.0,1.0,2.0,3.0,1,1.3,0,1
18671,2,European Skipper,2003,2.043419514937558,1.0,1.0,2.0,3.0,1,1.3,0,1
18672,2,European Skipper,2004,0.7344713664233553,1.0,1.0,2.0,3.0,1,1.3,0,1
18673,2,European Skipper,2005,0.029037036243119596,1.0,1.0,2.0,3.0,1,1.3,0,1
18674,2,European Skipper,2006,0.47358260516520256,1.0,1.0,2.0,3.0,1,1.3,0,1
18555,2,Edwards' Hairstreak,2016,-0.30721730155047966,2.0,1.0,3.0,2.0,1,1.5,0,0
18675,2,European Skipper,2007,2.9425126926210066,1.0,1.0,2.0,3.0,1,1.3,0,1
36283,2,Orange Sulphur,2015,-0.720637455910615,1.0,3.0,1.0,3.0,4,2.6,0,1
36281,2,Orange Sulphur,2013,0.20348500878656428,1.0,3.0,1.0,3.0,4,2.6,0,1
4057,2,Baltimore,2002,-0.4674472786123991,2.0,2.0,1.0,3.0,1,2.8,1,0
4056,2,Baltimore,2001,-0.731264206756641,2.0,2.0,1.0,3.0,1,2.8,1,0
4055,2,Baltimore,2000,-0.1766176331323851,2.0,2.0,1.0,3.0,1,2.8,1,0
4054,2,Baltimore,1999,0.624645240921351,2.0,2.0,1.0,3.0,1,2.8,1,0
4053,2,Baltimore,1998,13.100834232803345,2.0,2.0,1.0,3.0,1,2.8,1,0
4052,2,Baltimore,1997,-0.12975476298286004,2.0,2.0,1.0,3.0,1,2.8,1,0
36265,2,Orange Sulphur,1997,10.919472566798516,1.0,3.0,1.0,3.0,4,2.6,0,1
36266,2,Orange Sulphur,1998,-0.8261203647534808,1.0,3.0,1.0,3.0,4,2.6,0,1
36267,2,Orange Sulphur,1999,2.2082983420000133,1.0,3.0,1.0,3.0,4,2.6,0,1
36268,2,Orange Sulphur,2000,1.2405559130663244,1.0,3.0,1.0,3.0,4,2.6,0,1
36282,2,Orange Sulphur,2014,0.08349176089805987,1.0,3.0,1.0,3.0,4,2.6,0,1
36269,2,Orange Sulphur,2001,-0.7575727650918266,1.0,3.0,1.0,3.0,4,2.6,0,1
36271,2,Orange Sulphur,2003,-0.45347583780938705,1.0,3.0,1.0,3.0,4,2.6,0,1
36272,2,Orange Sulphur,2004,1.5790282225206456,1.0,3.0,1.0,3.0,4,2.6,0,1
36273,2,Orange Sulphur,2005,-0.440451348234403,1.0,3.0,1.0,3.0,4,2.6,0,1
36274,2,Orange Sulphur,2006,0.3116942339756128,1.0,3.0,1.0,3.0,4,2.6,0,1
36275,2,Orange Sulphur,2007,1.3779168947421692,1.0,3.0,1.0,3.0,4,2.6,0,1
36276,2,Orange Sulphur,2008,-0.061016564186077815,1.0,3.0,1.0,3.0,4,2.6,0,1
36277,2,Orange Sulphur,2009,-0.9055809225833312,1.0,3.0,1.0,3.0,4,2.6,0,1
36278,2,Orange Sulphur,2010,3.896789939588378,1.0,3.0,1.0,3.0,4,2.6,0,1
36279,2,Orange Sulphur,2011,-0.7532486255633384,1.0,3.0,1.0,3.0,4,2.6,0,1
36280,2,Orange Sulphur,2012,0.5938085598693716,1.0,3.0,1.0,3.0,4,2.6,0,1
36270,2,Orange Sulphur,2002,0.2520830140741279,1.0,3.0,1.0,3.0,4,2.6,0,1
4058,2,Baltimore,2003,-0.20187878966476014,2.0,2.0,1.0,3.0,1,2.8,1,0
